Peak;RT;Area;Area_%;Area_Sum_%;Height;Width;FWHM;Compuestos_interes;etiqueta;concentracion_eugenol;concentracion_ppm
 9             ;11.898         ;  414494.77    ;  7.81         ; 1.19          ; 101117.24     ;0.152          ;0.057          ;5METHYLFURFURAL;R-25           ;NA             ; 0.17717877    
56             ;20.510         ; 1204832.78    ; 22.71         ; 3.46          ; 432050.83     ;0.091          ;0.040          ;VANILLIN       ;R-25           ;NA             ; 0.96751678    
 6             ;10.370         ; 4729621.96    ;100.00         ;14.14          ;1025533.42     ;0.160          ;0.080          ;FURFURAL       ;R-26           ;NA             ; 4.49230596    
11             ;11.920         ;  885627.59    ; 18.73         ; 2.65          ; 184401.50     ;0.290          ;0.060          ;5METHYLFURFURAL;R-26           ;NA             ; 0.64831159    
52             ;20.520         ;  682049.07    ; 14.42         ; 2.04          ; 376896.51     ;0.060          ;0.030          ;VANILLIN       ;R-26           ;NA             ; 0.44473307    
 6             ;10.385         ; 1727392.08    ; 35.96         ; 6.40          ; 361776.69     ;0.173          ;0.076          ;FURFURAL       ;R-28           ;NA             ; 1.49007608    
12             ;11.921         ;  265818.45    ;  5.53         ; 0.99          ;  74814.47     ;0.114          ;0.056          ;5METHYLFURFURAL;R-28           ;NA             ; 0.02850245    
52             ;20.525         ;  387989.72    ;  8.08         ; 1.44          ; 184391.45     ;0.091          ;0.033          ;VANILLIN       ;R-28           ;NA             ; 0.15067372    
11             ;10.480         ; 4758388.75    ;  6.99         ; 2.65          ;1350061.64     ;0.129          ;0.057          ;FURFURAL       ;R-29           ;NA             ; 4.52107275    
19             ;12.008         ;  371256.37    ;  0.55         ; 0.21          ; 143249.06     ;0.114          ;0.040          ;5METHYLFURFURAL;R-29           ;NA             ; 0.13394037    
50             ;20.586         ; 1743277.06    ;  2.56         ; 0.97          ; 737736.97     ;0.099          ;0.028          ;VANILLIN       ;R-29           ;NA             ; 1.50596106    
 8             ;10.473         ; 2218292.34    ;  4.57         ; 2.02          ; 571181.02     ;0.149          ;0.062          ;FURFURAL       ;R-3            ;NA             ; 1.98097634    
16             ;11.997         ;  168255.92    ;  0.35         ; 0.15          ;  59440.17     ;0.102          ;0.046          ;5METHYLFURFURAL;R-3            ;NA             ;-0.06906008    
52             ;20.578         ;  217178.25    ;  0.45         ; 0.20          ; 176903.52     ;0.037          ;0.021          ;VANILLIN       ;R-3            ;NA             ;-0.02013775    
 4             ;10.380         ; 1967202.38    ; 30.50         ; 6.33          ; 375773.99     ;0.220          ;0.080          ;FURFURAL       ;R-30           ;NA             ; 1.72988638    
 7             ;11.910         ;  235846.67    ;  3.66         ; 0.76          ;  62223.61     ;0.120          ;0.060          ;5METHYLFURFURAL;R-30           ;NA             ;-0.00146933    
49             ;20.510         ;  776452.34    ; 12.04         ; 2.50          ; 297755.31     ;0.070          ;0.040          ;VANILLIN       ;R-30           ;NA             ; 0.53913634    
 3             ;10.396         ; 1753658.98    ; 35.82         ; 7.16          ; 306972.87     ;0.263          ;0.085          ;FURFURAL       ;R-4            ;NA             ; 1.51634298    
 8             ;11.917         ;  168756.60    ;  3.45         ; 0.69          ;  44778.86     ;0.099          ;0.068          ;5METHYLFURFURAL;R-4            ;NA             ;-0.06855940    
47             ;20.521         ;  552073.27    ; 11.28         ; 2.25          ; 209264.85     ;0.076          ;0.042          ;VANILLIN       ;R-4            ;NA             ; 0.31475727    
 7             ;10.440         ; 3563857.18    ; 52.90         ; 7.67          ; 835989.10     ;0.170          ;0.070          ;FURFURAL       ;R-5            ;NA             ; 3.32654118    
14             ;11.970         ;  301321.48    ;  4.47         ; 0.65          ;  76435.90     ;0.160          ;0.060          ;5METHYLFURFURAL;R-5            ;NA             ; 0.06400548    
63             ;20.560         ;  438794.26    ;  6.51         ; 0.94          ; 309601.28     ;0.040          ;0.020          ;VANILLIN       ;R-5            ;NA             ; 0.20147826    
 5             ;10.431         ; 2575232.38    ; 33.98         ; 7.35          ; 354190.56     ;0.292          ;0.113          ;FURFURAL       ;R-6            ;NA             ; 2.33791638    
 8             ;11.891         ;  393030.43    ;  5.19         ; 1.12          ;  75097.80     ;0.110          ;0.111          ;5METHYLFURFURAL;R-6            ;NA             ; 0.15571443    
41             ;20.536         ;  564261.71    ;  7.45         ; 1.61          ; 231219.19     ;0.084          ;0.038          ;VANILLIN       ;R-6            ;NA             ; 0.32694571    
 8             ;10.480         ; 4377295.67    ;  8.82         ; 3.23          ;1140997.10     ;0.181          ;0.062          ;FURFURAL       ;R-7            ;NA             ; 4.13997967    
16             ;11.993         ;  370985.42    ;  0.75         ; 0.27          ; 125863.85     ;0.125          ;0.047          ;5METHYLFURFURAL;R-7            ;NA             ; 0.13366942    
48             ;20.582         ; 1242611.68    ;  2.50         ; 0.92          ; 567977.43     ;0.091          ;0.028          ;VANILLIN       ;R-7            ;NA             ; 1.00529568    
 2             ;10.370         ; 2901434.64    ; 46.46         ; 8.92          ; 567705.79     ;0.180          ;0.080          ;FURFURAL       ;R-8            ;NA             ; 2.66411864    
 6             ;11.910         ;  624162.31    ;  9.99         ; 1.92          ;  98238.12     ;0.300          ;0.080          ;5METHYLFURFURAL;R-8            ;NA             ; 0.38684631    
 4             ;10.362         ; 4133128.99    ; 64.22         ;11.19          ; 817826.32     ;0.183          ;0.082          ;FURFURAL       ;R-9            ;NA             ; 3.89581299    
 8             ;11.891         ;  434116.81    ;  6.74         ; 1.18          ;  92892.58     ;0.148          ;0.073          ;5METHYLFURFURAL;R-9            ;NA             ; 0.19680081    
44             ;20.510         ; 1287048.66    ; 20.00         ; 3.49          ; 486166.85     ;0.072          ;0.043          ;VANILLIN       ;R-9            ;NA             ; 1.04973266    
