Peak;RT;Area;Area_%;Area_Sum_%;Height;Width;FWHM;Compuestos_interes;etiqueta;concentracion_eugenol;concentracion_ppm
10             ;11.910         ;  153452.69    ;  1.54         ; 0.32          ;  47508.96     ;0.091          ;0.061          ;5METHYLFURFURAL;Ce-29          ;NA             ;-0.08386331    
 5             ;10.492         ;  465121.74    ;  1.64         ; 0.70          ; 114278.76     ;0.127          ;0.066          ;FURFURAL       ;Ce-3           ;NA             ; 0.22780574    
 3             ;10.359         ;  480766.42    ;  8.70         ; 2.09          ;  96894.14     ;0.139          ;0.087          ;FURFURAL       ;Ce-30          ;NA             ; 0.24345042    
 6             ;11.879         ;  219936.24    ;  3.98         ; 0.96          ;  39732.64     ;0.144          ;0.107          ;5METHYLFURFURAL;Ce-30          ;NA             ;-0.01737976    
 6             ;10.420         ; 1675274.06    ; 33.40         ; 3.78          ; 388207.56     ;0.140          ;0.070          ;FURFURAL       ;Ce-4           ;NA             ; 1.43795806    
13             ;11.960         ;  231778.64    ;  4.62         ; 0.52          ;  76288.91     ;0.100          ;0.050          ;5METHYLFURFURAL;Ce-4           ;NA             ;-0.00553736    
 4             ;10.404         ; 1065769.89    ; 23.52         ; 3.93          ; 233708.80     ;0.140          ;0.079          ;FURFURAL       ;Ce-5           ;NA             ; 0.82845389    
 8             ;11.944         ;  258038.90    ;  5.69         ; 0.95          ;  59729.51     ;0.125          ;0.074          ;5METHYLFURFURAL;Ce-5           ;NA             ; 0.02072290    
 5             ;10.440         ;  765033.54    ;  9.32         ; 2.07          ; 170758.01     ;0.150          ;0.070          ;FURFURAL       ;Ce-6           ;NA             ; 0.52771754    
 8             ;11.950         ;  177158.92    ;  2.16         ; 0.48          ;  48423.86     ;0.100          ;0.060          ;5METHYLFURFURAL;Ce-6           ;NA             ;-0.06015708    
10             ;10.484         ;  612657.30    ;  1.01         ; 0.38          ; 163165.30     ;0.128          ;0.061          ;FURFURAL       ;Ce-7           ;NA             ; 0.37534130    
16             ;12.016         ;  101789.09    ;  0.17         ; 0.06          ;  38842.23     ;0.105          ;0.039          ;5METHYLFURFURAL;Ce-7           ;NA             ;-0.13552691    
51             ;20.582         ; 1930823.98    ;  3.17         ; 1.20          ;1136053.14     ;0.070          ;0.024          ;VANILLIN       ;Ce-7           ;NA             ; 1.69350798    
 6             ;10.450         ;  373927.46    ;  3.55         ; 0.78          ;  81356.67     ;0.150          ;0.080          ;FURFURAL       ;Ce-8           ;NA             ; 0.13661146    
 6             ;10.390         ; 9792406.41    ; 56.24         ;10.91          ;1677722.10     ;0.300          ;0.090          ;FURFURAL       ;E-1            ;NA             ; 9.55509041    
10             ;11.890         ; 1703801.53    ;  9.79         ; 1.90          ; 362443.30     ;0.170          ;0.070          ;5METHYLFURFURAL;E-1            ;NA             ; 1.46648553    
56             ;20.510         ; 2867542.80    ; 16.47         ; 3.19          ; 993403.81     ;0.140          ;0.040          ;VANILLIN       ;E-1            ;NA             ; 2.63022680    
 9             ;10.533         ; 4074687.63    ;  4.05         ; 2.04          ; 935609.62     ;0.152          ;0.071          ;FURFURAL       ;E-10           ;NA             ; 3.83737163    
13             ;12.039         ;  933314.61    ;  0.93         ; 0.47          ; 314936.53     ;0.156          ;0.044          ;5METHYLFURFURAL;E-10           ;NA             ; 0.69599861    
 5             ;10.500         ; 5647942.08    ; 66.20         ; 8.15          ; 913014.55     ;0.260          ;0.100          ;FURFURAL       ;E-11           ;NA             ; 5.41062608    
 9             ;11.990         ; 1412962.34    ; 16.56         ; 2.04          ; 294958.19     ;0.220          ;0.070          ;5METHYLFURFURAL;E-11           ;NA             ; 1.17564634    
 3             ;10.427         ;  406852.35    ;  1.88         ; 0.50          ; 126524.28     ;0.072          ;0.062          ;FURFURAL       ;E-12           ;NA             ; 0.16953635    
 8             ;11.993         ;  592566.70    ;  2.74         ; 0.72          ; 121093.11     ;0.133          ;0.074          ;5METHYLFURFURAL;E-12           ;NA             ; 0.35525070    
 7             ;10.442         ; 5787693.67    ; 37.89         ; 7.26          ; 915675.07     ;0.261          ;0.097          ;FURFURAL       ;E-13           ;NA             ; 5.55037767    
13             ;11.929         ; 1418684.69    ;  9.29         ; 1.78          ; 313114.36     ;0.141          ;0.072          ;5METHYLFURFURAL;E-13           ;NA             ; 1.18136869    
 8             ;10.440         ; 1706694.44    ; 22.95         ; 3.34          ; 429685.07     ;0.140          ;0.060          ;FURFURAL       ;E-14           ;NA             ; 1.46937844    
15             ;11.980         ;  962019.14    ; 12.94         ; 1.88          ; 273147.38     ;0.150          ;0.050          ;5METHYLFURFURAL;E-14           ;NA             ; 0.72470314    
 9             ;10.470         ; 4979302.37    ; 37.14         ; 6.13          ; 907168.41     ;0.170          ;0.090          ;FURFURAL       ;E-15           ;NA             ; 4.74198637    
12             ;11.900         ; 3652113.29    ; 27.24         ; 4.50          ; 664764.64     ;0.290          ;0.080          ;5METHYLFURFURAL;E-15           ;NA             ; 3.41479729    
50             ;20.520         ; 1389073.74    ; 10.36         ; 1.71          ; 403932.59     ;0.100          ;0.050          ;VANILLIN       ;E-15           ;NA             ; 1.15175774    
 5             ;10.408         ; 1453253.27    ; 18.33         ; 3.49          ; 177256.80     ;0.380          ;0.119          ;FURFURAL       ;E-16           ;NA             ; 1.21593727    
 8             ;11.860         ;  848367.46    ; 10.70         ; 2.04          ; 174647.68     ;0.186          ;0.063          ;5METHYLFURFURAL;E-16           ;NA             ; 0.61105146    
 7             ;10.430         ; 2942708.29    ; 50.50         ; 6.08          ; 726228.25     ;0.130          ;0.070          ;FURFURAL       ;E-17           ;NA             ; 2.70539229    
14             ;11.970         ; 1321933.92    ; 22.69         ; 2.73          ; 368080.84     ;0.160          ;0.050          ;5METHYLFURFURAL;E-17           ;NA             ; 1.08461792    
 9             ;10.496         ; 1040630.18    ;  1.08         ; 0.56          ; 279616.41     ;0.171          ;0.057          ;FURFURAL       ;E-18           ;NA             ; 0.80331418    
16             ;12.009         ;  269545.38    ;  0.28         ; 0.14          ; 102376.51     ;0.105          ;0.041          ;5METHYLFURFURAL;E-18           ;NA             ; 0.03222938    
 4             ;10.419         ; 1364626.27    ; 25.40         ; 3.85          ; 260688.64     ;0.223          ;0.082          ;FURFURAL       ;E-19           ;NA             ; 1.12731027    
 9             ;11.921         ;  554987.88    ; 10.33         ; 1.56          ; 125129.41     ;0.133          ;0.069          ;5METHYLFURFURAL;E-19           ;NA             ; 0.31767188    
 6             ;10.440         ; 3166536.36    ; 55.38         ; 5.65          ; 749324.75     ;0.170          ;0.070          ;FURFURAL       ;E-2            ;NA             ; 2.92922036    
13             ;11.970         ; 2116452.57    ; 37.02         ; 3.78          ; 585931.02     ;0.150          ;0.060          ;5METHYLFURFURAL;E-2            ;NA             ; 1.87913657    
